BillNumber,OccupancyNumber,PaymentDate,PriceTotal
10081244,100001,2018-02-10,2000
10081245,100002,2018-03-12,2800
10081246,100003,2018-05-16,2500
10081247,100004,2018-05-24,2600
10081248,100005,2018-06-21,1600
10081249,100006,2018-06-30,3600
10081250,100007,2018-07-04,1600
10081251,100008,2018-07-11,2800
10081252,100009,2018-07-21,2100
10081253,100010,2019-02-07,3200
10081254,100011,2019-01-29,3000
10081255,100012,2019-02-04,1800
10081256,100013,2019-03-07,1600
10081257,100014,2019-03-08,2550
10081258,100015,2019-03-10,900
10081259,100016,2019-03-31,1500
10081260,100017,2019-05-04,1480
10081261,100018,2019-06-01,2100
10081262,100019,2019-06-04,1780
10081263,100020,2019-06-14,2650
10081264,100021,2019-06-14,1650
10081265,100022,2019-06-24,1900
10081266,100023,2019-07-25,1870
10081267,100024,2019-08-17,980
10081268,100025,2019-08-20,1300
10081269,100026,2019-08-29,1640
10081270,100027,2019-09-05,1880
10081271,100028,2019-09-05,3090
10081272,100029,2019-09-19,3150
10081273,100030,2019-10-11,2800
10081274,100031,2019-10-18,3150
10081275,100032,2019-10-21,2400
10081276,100033,2019-11-19,1000
10081277,100034,2019-12-04,2450
10081278,100035,2019-12-25,2600
10081279,100036,2019-12-29,1800
10081280,100037,2020-01-06,2100
10081281,100038,2020-01-10,3050
10081282,100039,2020-01-09,850
10081283,100040,2020-01-18,3050
10081284,100041,2020-01-21,2400
10081285,100042,2020-02-05,2500
10081286,100043,2020-02-06,1500
10081287,100044,2020-02-09,1350
10081288,100045,2020-03-01,5600
10081289,100046,2020-03-03,3400
10081290,100047,2020-03-10,960
10081291,100048,2020-04-26,2400
10081292,100049,2020-06-17,3150
